Virus name	Accession ID	Pango lineage
hCoV-19/USA/TX-HMH-MCoV-15064/2020	EPI_ISL_786548	B.1.1.201
hCoV-19/USA/TX-HMH-MCoV-15070/2020	EPI_ISL_786554	B.1.284
hCoV-19/USA/TX-HMH-MCoV-15171/2020	EPI_ISL_786655	B.1.1.392
hCoV-19/USA/TX-HMH-MCoV-15296/2020	EPI_ISL_786780	B.1.428
hCoV-19/USA/TX-HMH-MCoV-15413/2020	EPI_ISL_786897	B.1.1.230
hCoV-19/USA/TX-HMH-MCoV-14130/2020	EPI_ISL_787415	B.1.36.26
hCoV-19/USA/TX-HMH-MCoV-14694/2020	EPI_ISL_787979	B.1.473
hCoV-19/USA/NY-MSHSPSP-PV19497/2020	EPI_ISL_802324	B.1.1.50
hCoV-19/USA/FL-BPHL-2459/2020	EPI_ISL_848854	B.1.606
hCoV-19/USA/FL-BPHL-2523/2020	EPI_ISL_848880	B.1.318
hCoV-19/USA/NY-Wadsworth-21004960-01/2020	EPI_ISL_861268	B.1.1.159
hCoV-19/USA/NY-Wadsworth-21006778-01/2021	EPI_ISL_896386	B.1.293
hCoV-19/USA/MA-CDC-STM-000002959/2021	EPI_ISL_967414	B.1.1.189
hCoV-19/USA/MA-Broad_CRSP-00375/2021	EPI_ISL_976957	B.1.1.393
hCoV-19/USA/IL-CDC-3966045-001/2021	EPI_ISL_914025	B.1.1.71
hCoV-19/USA/CA-UCSF-UC903/2020	EPI_ISL_978077	B.1.1.158
hCoV-19/USA/NY-Wadsworth-21008021-01/2021	EPI_ISL_983313	B.1.1.116
hCoV-19/USA/NY-PRL-2021_0205_00G06/2021	EPI_ISL_994887	AZ.1
hCoV-19/USA/MI-UM-10038245822/2021	EPI_ISL_1001265	B.1.234
hCoV-19/USA/MI-UM-10038285263/2021	EPI_ISL_1001267	B.1.575
hCoV-19/USA/MI-UM-10038297205/2021	EPI_ISL_1001270	B.1.234
hCoV-19/USA/NY-UL-NP5080/2021	EPI_ISL_1001460	B.1.351
hCoV-19/USA/CA-LACPHL-AF00379/2021	EPI_ISL_1005483	B.1.402
hCoV-19/USA/CA-LACPHL-AF00385/2021	EPI_ISL_1005489	B.1.1.368
hCoV-19/USA/CA-LACPHL-AF00395/2021	EPI_ISL_1005503	B.1.1
hCoV-19/USA/CA-LACPHL-AF00404/2021	EPI_ISL_1005512	B.1.1.416
hCoV-19/USA/CA-LACPHL-AF00430/2021	EPI_ISL_1005543	B.1
hCoV-19/USA/CA-LACPHL-AF00437/2021	EPI_ISL_1005550	B.1.2
hCoV-19/USA/CA-LACPHL-AF00440/2021	EPI_ISL_1005553	B.1.400
hCoV-19/USA/WY-WPHL-21010567/2021	EPI_ISL_1008661	B.1.551
hCoV-19/USA/MI-MDHHS-SC23321/2021	EPI_ISL_1008804	B.1.298
hCoV-19/USA/MI-MDHHS-SC23334/2021	EPI_ISL_1008817	B.1.596
hCoV-19/USA/TN-UT-1689/2020	EPI_ISL_1009163	B.1.595
hCoV-19/USA/TN-UT-1690/2020	EPI_ISL_1009164	B.1.324
hCoV-19/USA/TN-UT-1708/2020	EPI_ISL_1009175	B.1.582
hCoV-19/USA/TN-UT-1709/2020	EPI_ISL_1009176	B.1.240
hCoV-19/USA/TN-UT-1723/2020	EPI_ISL_1009185	B.1.1.207
hCoV-19/USA/TN-UT-1725/2020	EPI_ISL_1009187	B.1.177.18
hCoV-19/USA/NY-UT-1743/2020	EPI_ISL_1009193	B.1.177
hCoV-19/USA/MS-UT-1748/2020	EPI_ISL_1009194	B.1.451
hCoV-19/USA/MS-UT-1751/2020	EPI_ISL_1009196	B.1.1.345
hCoV-19/USA/MS-UT-1756/2020	EPI_ISL_1009198	B.1.451
hCoV-19/USA/MS-UT-1764/2020	EPI_ISL_1009203	B.1.577
hCoV-19/USA/WY-WPHL-21012450/2021	EPI_ISL_1009233	B.1.427
hCoV-19/USA/WY-WPHL-20165012/2020	EPI_ISL_1009255	B.1.436
hCoV-19/USA/WY-WPHL-20165372/2020	EPI_ISL_1009266	B.1.1.329
hCoV-19/USA/WY-WPHL-20165561/2020	EPI_ISL_1009270	B.1.243
hCoV-19/USA/NY-UB-00265/2020	EPI_ISL_1009436	B.1.243
hCoV-19/USA/NY-UB-00263/2020	EPI_ISL_1009440	B.1.541
hCoV-19/USA/NY-UB-00269/2020	EPI_ISL_1009441	B.1.311
hCoV-19/USA/NY-UB-00318/2020	EPI_ISL_1009459	B.1.541
hCoV-19/USA/NY-UB-00320/2020	EPI_ISL_1009460	B.1.409
hCoV-19/USA/NY-UB-00329/2020	EPI_ISL_1009464	B.1.349
hCoV-19/USA/NY-UB-00335/2020	EPI_ISL_1009467	B.1.280
hCoV-19/USA/NY-UB-00339/2020	EPI_ISL_1009473	B.1.110.3
hCoV-19/USA/NY-UB-00365/2020	EPI_ISL_1009490	B.1.243
hCoV-19/USA/NY-UB-00376/2020	EPI_ISL_1009493	B.1.1.464
hCoV-19/USA/NY-UB-00381/2020	EPI_ISL_1009497	B.1.1.222
hCoV-19/USA/NY-UB-00419/2020	EPI_ISL_1009534	B.1.311
hCoV-19/USA/NY-UB-00422/2020	EPI_ISL_1009535	R.1
hCoV-19/USA/NY-UB-00435/2020	EPI_ISL_1009551	B.1.556
hCoV-19/USA/NY-UB-00506/2021	EPI_ISL_1009574	B.1.582
hCoV-19/USA/NY-UB-00704/2021	EPI_ISL_1009610	P.2
hCoV-19/USA/DE-DHSS-FLW00748310/2021	EPI_ISL_1009634	B.1.575
hCoV-19/USA/DE-DHSS-FLW00750590/2021	EPI_ISL_1009644	B.1.1.207
hCoV-19/USA/DE-DHSS-FLW00761473/2021	EPI_ISL_1009650	B.1.1.486
hCoV-19/USA/CA-SC210142/2021	EPI_ISL_1009657	B.1.399
hCoV-19/USA/MA-MASPHL-01811/2021	EPI_ISL_1009722	B.1.1.316
hCoV-19/USA/MA-MASPHL-01815/2021	EPI_ISL_1009724	B.1.517
hCoV-19/USA/MA-MASPHL-01852/2021	EPI_ISL_1009754	B.1.433
hCoV-19/USA/MA-MGH-03944/2021	EPI_ISL_1011539	A.2.5.2
hCoV-19/USA/MA-MGH-03990/2021	EPI_ISL_1011571	B.1.448
hCoV-19/USA/MA-MGH-03993/2021	EPI_ISL_1011572	B.1.1.486
hCoV-19/USA/MA-MGH-04010/2021	EPI_ISL_1011584	B.1.1.305
hCoV-19/USA/CO-Broad_WarriorLab-00194/2021	EPI_ISL_1011654	B.1.429.1
hCoV-19/USA/RI-Broad_RIDOH-00226/2021	EPI_ISL_1011731	B.1.369
hCoV-19/USA/NMDOH-2021045051/2021	EPI_ISL_1012891	B.1.635
hCoV-19/USA/NMDOH-2021047501/2021	EPI_ISL_1012919	B.1.599
hCoV-19/USA/MI-UM-10038088993/2021	EPI_ISL_1014804	B.1.609
hCoV-19/USA/MI-UM-10038031182/2021	EPI_ISL_1014820	B.1.427
hCoV-19/USA/MI-UM-10038002079/2021	EPI_ISL_1014821	B.1.595
hCoV-19/mink/USA/WI-CDC-CX7Y-2442/2020	EPI_ISL_1014956	B.1.235
hCoV-19/USA/AZ-ASPHL-2830/2020	EPI_ISL_1014993	B.1.561
hCoV-19/USA/NM-UNM-ED0149/2021	EPI_ISL_1015335	B.1.232
hCoV-19/USA/NM-UNM-01831/2021	EPI_ISL_1015346	B.1.404
hCoV-19/USA/MD-MDH-0843/2021	EPI_ISL_1015582	B.1.1.519
hCoV-19/USA/NY-Wadsworth-21007350-01/2021	EPI_ISL_1015655	B.1.111
hCoV-19/USA/NY-Wadsworth-21006833-01/2021	EPI_ISL_1015661	B.1.1.25
hCoV-19/USA/NY-Wadsworth-21007297-01/2021	EPI_ISL_1015669	B.1.1.434
hCoV-19/USA/NY-Wadsworth-21006831-01/2021	EPI_ISL_1015681	P.2
hCoV-19/USA/NY-Wadsworth-21006823-01/2021	EPI_ISL_1015692	B.1.588
hCoV-19/USA/NY-Wadsworth-21007118-01/2021	EPI_ISL_1015700	B.1.575
hCoV-19/USA/AZ-ASPHL-3237/2020	EPI_ISL_1015723	B.1.396
hCoV-19/USA/WA-S4478/2021	EPI_ISL_1015821	B.1.527
hCoV-19/USA/WA-S4573/2021	EPI_ISL_1015916	B.1.568
hCoV-19/USA/WA-S4611/2021	EPI_ISL_1015954	B.1.377
hCoV-19/USA/NY-Wadsworth-21017509-01/2021	EPI_ISL_1016122	B.1.1.345
hCoV-19/USA/NY-Wadsworth-21017648-01/2021	EPI_ISL_1016164	B.1.1.411
hCoV-19/USA/NY-Wadsworth-21018143-01/2021	EPI_ISL_1016189	B.1.361
hCoV-19/USA/NY-Wadsworth-21018165-01/2021	EPI_ISL_1016209	B.1.526
hCoV-19/USA/NY-Wadsworth-21018777-01/2021	EPI_ISL_1016231	B.1.36
hCoV-19/USA/NY-Wadsworth-21018787-01/2021	EPI_ISL_1016237	B.1.637
hCoV-19/USA/NY-Wadsworth-21019364-01/2021	EPI_ISL_1016251	B.1.525
hCoV-19/USA/NY-Wadsworth-21015472-01/2021	EPI_ISL_1016268	B.1.637
hCoV-19/USA/NY-Wadsworth-21015607-01/2021	EPI_ISL_1016304	B.1.478
hCoV-19/USA/NY-Wadsworth-21015601-01/2021	EPI_ISL_1016306	B.1.1.28
hCoV-19/USA/NY-Wadsworth-21015425-01/2021	EPI_ISL_1016323	B.1.525
hCoV-19/USA/NY-Wadsworth-21009020-01/2021	EPI_ISL_1016460	C.31
hCoV-19/USA/NY-Wadsworth-21009441-01/2021	EPI_ISL_1016474	B.1.1.518
hCoV-19/USA/CA-CDC-STM-000008409/2021	EPI_ISL_1016622	B.1.429
hCoV-19/USA/CO-CDC-STM-000008403/2021	EPI_ISL_1016629	C.16
hCoV-19/USA/CA-CDC-STM-000007858/2021	EPI_ISL_1016647	B.1.429
hCoV-19/USA/CA-CDC-STM-000007831/2021	EPI_ISL_1016654	B.1.241
hCoV-19/USA/AZ-ASPHL-3305/2020	EPI_ISL_1016926	A.23.1
hCoV-19/USA/AZ-ASPHL-3504/2021	EPI_ISL_1016942	B.1.404
hCoV-19/USA/NE-CSSCH018/2020	EPI_ISL_1016957	B.1.564
hCoV-19/USA/NE-CSSCH021/2020	EPI_ISL_1016959	B.1.509
hCoV-19/USA/NE-CSSCH044/2020	EPI_ISL_1016966	B.1.139
hCoV-19/USA/CT-Yale-1364/2021	EPI_ISL_1017472	B.1.517.1
hCoV-19/USA/CT-Yale-1351/2021	EPI_ISL_1017481	B.1.320
hCoV-19/USA/CT-Yale-1141/2021	EPI_ISL_1017495	B.1.509
hCoV-19/USA/NY-Yale-1154/2021	EPI_ISL_1017500	B.1.1.192
hCoV-19/USA/NY-Yale-1123/2020	EPI_ISL_1017525	B.1.1.231
hCoV-19/USA/CT-Yale-1122/2020	EPI_ISL_1017545	B.1.1.1
hCoV-19/USA/WY-WPHL-21000191/2021	EPI_ISL_1017912	B.1.1.432
hCoV-19/USA/NY-NYCPHL-003048/2021	EPI_ISL_1017993	N.5
hCoV-19/USA/NY-NYCPHL-003190/2021	EPI_ISL_1018032	B.1.306
hCoV-19/USA/NY-NYCPHL-003200/2021	EPI_ISL_1018036	L.3
hCoV-19/USA/NY-Wadsworth-21007376-01/2021	EPI_ISL_1020512	B.1.637
hCoV-19/USA/NY-Wadsworth-21007381-01/2021	EPI_ISL_1020519	B.1.543
hCoV-19/USA/NY-Wadsworth-21007401-01/2021	EPI_ISL_1020542	B.1.478
hCoV-19/USA/TN-CDC-LC0007155/2021	EPI_ISL_1021277	B.1.265
hCoV-19/USA/OR-CDC-LC0003336/2021	EPI_ISL_1026851	B.1.587
hCoV-19/USA/MN-MDH-2749/2021	EPI_ISL_1027281	B.1.1.381
hCoV-19/USA/MN-MDH-2751/2021	EPI_ISL_1027292	B.1.1.362
hCoV-19/USA/CA-CZB-16610/2020	EPI_ISL_1027439	B.1.1.205
hCoV-19/USA/CA-CZB-23029/2020	EPI_ISL_1027470	B.1.1.294
hCoV-19/USA/CA-CZB-17441/2020	EPI_ISL_1027533	B.1.239
hCoV-19/USA/CA-CZB-23355/2021	EPI_ISL_1030350	B.1.427
hCoV-19/USA/CA-CZB-23294/2021	EPI_ISL_1030389	B.1.427
hCoV-19/USA/CA-CZB-19705/2020	EPI_ISL_1030436	B.1.523
hCoV-19/USA/IL-IDPH-COO-I-0001055/2021	EPI_ISL_1032915	B.1.221
hCoV-19/USA/ND-NDDH-0086/2020	EPI_ISL_1035867	B.1.577
hCoV-19/USA/CA-CDC-STM-000008207/2021	EPI_ISL_1036716	Q.3
hCoV-19/USA/AZ-TG712332/2021	EPI_ISL_1036778	B.1.1.186
hCoV-19/USA/AZ-TG712277/2021	EPI_ISL_1036758	B.1.146
hCoV-19/USA/MD-MDH-0933/2021	EPI_ISL_1038797	B.1.298
hCoV-19/USA/MD-MDH-0945/2021	EPI_ISL_1038809	B.1.351
hCoV-19/USA/MD-MDH-0957/2021	EPI_ISL_1038821	C.37
hCoV-19/USA/MD-MDH-0970/2021	EPI_ISL_1038832	B.1.214.2
hCoV-19/USA/NMDOH-2020459270/2020	EPI_ISL_1038925	B.1.346
hCoV-19/USA/NMDOH-2020460116/2020	EPI_ISL_1038927	B.1.567
hCoV-19/USA/NY-PRL-2021_02_10_02F11/2021	EPI_ISL_1041259	B.1.623
hCoV-19/USA/NY-PRL-2021_02_10_03G12/2021	EPI_ISL_1041307	B.1.1.348
hCoV-19/USA/NY-PRL-2021_02_15_00G10/2021	EPI_ISL_1041568	C.2.1
hCoV-19/USA/AK-PHL6714/2020	EPI_ISL_1049512	B.1.336
hCoV-19/USA/FL-BPHL-0391/2021	EPI_ISL_1049980	B.1.1.461
hCoV-19/USA/FL-BPHL-0416/2021	EPI_ISL_1049996	W.1
hCoV-19/USA/FL-BPHL-0429/2021	EPI_ISL_1050005	B.1.1.461
hCoV-19/USA/NY-NYULH171/2021	EPI_ISL_1050056	B.1.1.135
hCoV-19/USA/NY-Wadsworth-21010215-01/2021	EPI_ISL_1016397	B.1.160
hCoV-19/USA/NY-Wadsworth-21010184-01/2020	EPI_ISL_1016342	B.1.3
hCoV-19/USA/NY-Wadsworth-21010203-01/2020	EPI_ISL_1016343	B.1.1.368
hCoV-19/USA/NY-Wadsworth-21010197-01/2020	EPI_ISL_1016407	B.1.1.101
hCoV-19/USA/TN-CDC-3980528-001/2021	EPI_ISL_1008906	B.1.1.7
hCoV-19/USA/CT-CDC-3979695-001/2021	EPI_ISL_1008916	B.1.375
hCoV-19/USA/WA-S4706/2021	EPI_ISL_1049554	B.1.1.322
hCoV-19/USA/WA-S4723/2021	EPI_ISL_1049571	B.1.587
hCoV-19/USA/WA-S4793/2021	EPI_ISL_1049641	B.1.397
hCoV-19/USA/KS-KHEL-0190/2021	EPI_ISL_1058067	B.1.1.337
hCoV-19/USA/WY-WPHL-20161767/2020	EPI_ISL_1060206	B.1.126
hCoV-19/USA/NY-NYULH241/2020	EPI_ISL_1060623	B.1.215
hCoV-19/USA/NY-NYULH221/2020	EPI_ISL_1060631	B.1.544
hCoV-19/USA/NY-NYULH213/2020	EPI_ISL_1060657	B.1.601
hCoV-19/USA/NY-NYULH215/2020	EPI_ISL_1060658	B.1.177.53
hCoV-19/USA/NY-NYULH258/2020	EPI_ISL_1060664	B.1.390
hCoV-19/USA/NY-NYULH262/2020	EPI_ISL_1060675	B.1.36.17
hCoV-19/USA/NM-UNM-01842/2021	EPI_ISL_1064203	C.23
hCoV-19/USA/NM-UNM-01843/2021	EPI_ISL_1064204	C.23
hCoV-19/USA/NM-UNM-01857/2021	EPI_ISL_1064216	B.1.223
hCoV-19/USA/WI-UW-3470/2021	EPI_ISL_1064269	B.1.221
hCoV-19/USA/WI-UW-3396/2021	EPI_ISL_1064316	B.1.602
hCoV-19/USA/MD-MDH-0988/2021	EPI_ISL_1064345	B.1.605
hCoV-19/USA/MN-MDH-2849/2021	EPI_ISL_1064397	AU.2
hCoV-19/USA/MN-MDH-2781/2021	EPI_ISL_1064526	B.1.564
hCoV-19/USA/MN-MDH-2798/2021	EPI_ISL_1064536	B.1.214
hCoV-19/USA/UT-UPHL-2102312568/2020	EPI_ISL_1068035	B.1.199
hCoV-19/USA/TX-HMH-MCoV-25517/2021	EPI_ISL_1080886	B.1.574
hCoV-19/USA/TX-HMH-MCoV-22752/2020	EPI_ISL_1077280	C.36
hCoV-19/USA/TX-HMH-MCoV-22937/2021	EPI_ISL_1077467	B.1.1.258
hCoV-19/USA/TX-HMH-MCoV-22205/2021	EPI_ISL_1076733	B.1.565
hCoV-19/USA/MD-MDH-1037/2021	EPI_ISL_1081227	Q.4
hCoV-19/USA/MD-MDH-1055/2021	EPI_ISL_1081259	B.1.596.1
hCoV-19/USA/TX-HMH-MCoV-19966/2021	EPI_ISL_1074405	B.1.351
hCoV-19/USA/TX-HMH-MCoV-20077/2021	EPI_ISL_1074516	B.1.580
hCoV-19/USA/TX-HMH-MCoV-20786/2021	EPI_ISL_1075228	B.1.337
hCoV-19/USA/TX-HMH-MCoV-20800/2021	EPI_ISL_1075242	B.1.1.121
hCoV-19/USA/CA-ALSR-6884/2021	EPI_ISL_1081685	B.1.1.228
hCoV-19/USA/TX-HMH-MCoV-21224/2020	EPI_ISL_1075670	A.2.5
hCoV-19/USA/TX-HMH-MCoV-24917/2021	EPI_ISL_1079531	B.1.36.18
hCoV-19/USA/TX-HMH-MCoV-24847/2021	EPI_ISL_1079461	B.1.236
hCoV-19/USA/LA-CDC-QDX21570599/2021	EPI_ISL_1086398	B.1.636
hCoV-19/USA/RI-CDC-QDX21529952/2021	EPI_ISL_1086400	B.1.603
hCoV-19/USA/ME-CDC-QDX21529911/2021	EPI_ISL_1086493	B.1.1.320
hCoV-19/USA/NY-NYULH340/2021	EPI_ISL_1087322	N.5
hCoV-19/USA/NY-NYULH335/2021	EPI_ISL_1087344	AL.1
hCoV-19/USA/CT-CDC-QDX21644981/2021	EPI_ISL_1087440	B.1.1.351
hCoV-19/USA/MD-CDC-QDX21671881/2021	EPI_ISL_1087884	B.1.612
hCoV-19/USA/GA-CDC-STM-000010284/2021	EPI_ISL_1088902	B.1.258
hCoV-19/USA/IL-CDC-STM-000008889/2021	EPI_ISL_1088930	B.1.441
hCoV-19/USA/RI-CDC-STM-000008830/2021	EPI_ISL_1088961	R.2
hCoV-19/USA/CA-CDC-STM-000008878/2021	EPI_ISL_1088965	B.1.189
hCoV-19/USA/TX-CDC-STM-000008991/2021	EPI_ISL_1088991	B.1.1.198
hCoV-19/USA/TX-CDC-STM-000010429/2021	EPI_ISL_1089137	B.1.36.31
hCoV-19/USA/FL-CDC-STM-000011705/2021	EPI_ISL_1089403	B.1.420
hCoV-19/USA/NV-CDC-QDX21873140/2021	EPI_ISL_1090304	B.1.1.312
hCoV-19/USA/WV-CDC-QDX21868222/2021	EPI_ISL_1090581	B.1.1.420
hCoV-19/USA/AZ-CDC-QDX21801839/2021	EPI_ISL_1090700	B.1.243.1
hCoV-19/USA/IL-CDC-QDX21794663/2021	EPI_ISL_1090703	B.1.1.17
hCoV-19/USA/WV-CDC-QDX21755007/2021	EPI_ISL_1090743	B.1.362
hCoV-19/USA/GA-USAFSAM-S0574/2021	EPI_ISL_1091683	B.1.550
hCoV-19/USA/OH-USAFSAM-S0739/2021	EPI_ISL_1091775	A.21
hCoV-19/USA/CA-ACPHD-00031/2020	EPI_ISL_1093575	B.1.405
hCoV-19/USA/CA-UCSF-JD9/2021	EPI_ISL_1093795	B.1.1.517
hCoV-19/USA/CA-UCSF-JD610/2021	EPI_ISL_1093841	B.1.348
hCoV-19/USA/KS-CDC-2-4069130/2020	EPI_ISL_1094655	B.1.426
hCoV-19/USA/NC-CDC-2-3858758/2021	EPI_ISL_1095362	B.1.36.8
hCoV-19/USA/NY-PRL-2021_02_19_00K17/2021	EPI_ISL_1097999	B.1.1.265
hCoV-19/USA/CA-UCSF-JD447/2021	EPI_ISL_1098819	C.13
hCoV-19/USA/VA-DCLS-3495/2021	EPI_ISL_1111578	B.1.480
hCoV-19/USA/NJ-PHEL-P21-7914/2021	EPI_ISL_1113175	B.1.362
hCoV-19/USA/AZ-TG724563/2020	EPI_ISL_1113526	B.1.188
hCoV-19/USA/AZ-TG724627/2020	EPI_ISL_1113545	B.1.188
hCoV-19/USA/AZ-TG726654/2020	EPI_ISL_1113684	B.1.423
hCoV-19/USA/AZ-TG724767/2021	EPI_ISL_1113571	B.1.1.352
hCoV-19/USA/MA-MGH-03703/2020	EPI_ISL_1121715	B.1.1.304
hCoV-19/USA/OR-OHSU-6603/2020	EPI_ISL_1122050	B.1.416
hCoV-19/USA/OR-OHSU-9395/2021	EPI_ISL_1122093	B.1.398
hCoV-19/USA/AZ-ASPHL-2892/2020	EPI_ISL_1132664	B.1.1.33
hCoV-19/USA/MI-UM-10037026952/2020	EPI_ISL_1132985	B.1.591
hCoV-19/USA/FL-CDC-STM-000012884/2021	EPI_ISL_1134355	B.1.516
hCoV-19/USA/NC-CDC-STM-000013179/2021	EPI_ISL_1134578	B.1.539
hCoV-19/USA/FL-CDC-STM-000013681/2021	EPI_ISL_1134783	B.1.560
hCoV-19/USA/NV-NSPHL-LV293161/2021	EPI_ISL_1136119	B.1.400.1
hCoV-19/USA/NV-NSPHL-337252/2021	EPI_ISL_1136427	B.1.600
hCoV-19/USA/NV-NSPHL-NV2035207/2020	EPI_ISL_1136931	B.1.1.376
hCoV-19/USA/NV-NSPHL-NV2034750/2020	EPI_ISL_1136944	B.1.153
hCoV-19/USA/NV-NSPHL-NV2033296/2020	EPI_ISL_1136953	B.1.1.358
hCoV-19/USA/TX-CDC-QDX22054787/2021	EPI_ISL_1139607	C.6
hCoV-19/USA/OH-CDC-QDX22020426/2021	EPI_ISL_1158938	B.1.493
hCoV-19/USA/CT-CDC-QDX22024763/2021	EPI_ISL_1159051	B.1.448
hCoV-19/USA/WI-WSLH-211294/2021	EPI_ISL_1159760	B.1.1.317
hCoV-19/USA/NH-CDC-LC0019019/2021	EPI_ISL_1161370	B.1.1.304
hCoV-19/USA/NC-UNC-LCCC0304/2021	EPI_ISL_1163752	B.1.36.10
hCoV-19/USA/NC-UNC-LCCC0317/2021	EPI_ISL_1163764	B.1.503
hCoV-19/USA/NC-UNC-LCCC0322/2021	EPI_ISL_1163769	B
hCoV-19/USA/MD-MDH-1167/2021	EPI_ISL_1167277	B.1.1.318
hCoV-19/USA/TX-HMH-MCoV-23556/2021	EPI_ISL_1078086	B.1.1.421
hCoV-19/USA/TX-HMH-MCoV-25748/2021	EPI_ISL_1080241	B.1.326
hCoV-19/USA/TX-HMH-MCoV-25782/2021	EPI_ISL_1080275	B.1.36.7
hCoV-19/USA/TX-HMH-MCoV-21425/2021	EPI_ISL_1075871	B.1.305
hCoV-19/USA/TX-HMH-MCoV-21534/2021	EPI_ISL_1075980	B.1.612
hCoV-19/USA/TX-HMH-MCoV-25590/2021	EPI_ISL_1081001	B.1.88.1
hCoV-19/USA/TX-HMH-MCoV-20402/2021	EPI_ISL_1074844	A.2.5
hCoV-19/USA/TX-HMH-MCoV-20441/2021	EPI_ISL_1074883	B.1.378
hCoV-19/USA/TX-HMH-MCoV-22364/2021	EPI_ISL_1076892	C.36.2
hCoV-19/USA/TX-HMH-MCoV-23163/2021	EPI_ISL_1077693	B.1.208
hCoV-19/USA/TX-HMH-MCoV-20335/2021	EPI_ISL_1074777	C.8
hCoV-19/USA/TX-HMH-MCoV-19885/2021	EPI_ISL_1074324	B.1.432
hCoV-19/USA/OR-OHSU-5560/2020	EPI_ISL_1171016	B.1.233
hCoV-19/USA/OR-OHSU-7951/2020	EPI_ISL_1171082	B.1.1.306
hCoV-19/USA/OR-OHSU-8527/2020	EPI_ISL_1171162	B.1.453
hCoV-19/USA/NY-PRL-2021_03_01_00P11/2021	EPI_ISL_1172537	B.1.177.73
hCoV-19/USA/WA-UW-61630/2021	EPI_ISL_1180999	B.1.533
hCoV-19/USA/MD-MDH-1212/2021	EPI_ISL_1181991	B.1.619
hCoV-19/USA/AZ-TG741872/2020	EPI_ISL_1182159	B.1.36.1
hCoV-19/USA/AZ-TG741118/2020	EPI_ISL_1183782	B.1.576
hCoV-19/USA/AZ-TG745777/2020	EPI_ISL_1184066	B.1.426
hCoV-19/USA/CA-CZB-24749/2021	EPI_ISL_1184941	B.1.466.1
hCoV-19/USA/CA-CZB-24157/2021	EPI_ISL_1185030	B.1.187
hCoV-19/USA/CA-CZB-24543/2021	EPI_ISL_1185033	B.1.1.418
hCoV-19/USA/FL-BPHL-0812/2021	EPI_ISL_1191548	Q.1
hCoV-19/USA/FL-BPHL-0832/2021	EPI_ISL_1191568	B.1.628
hCoV-19/USA/FL-CDC-STM-000012931/2021	EPI_ISL_1194849	P.1
hCoV-19/USA/NMDOH-2020500066/2020	EPI_ISL_1196444	B.1.147
hCoV-19/USA/TX-HMH-MCoV-16409/2020	EPI_ISL_1202119	B.1.569
hCoV-19/USA/TX-HMH-MCoV-16600/2020	EPI_ISL_1202310	B.1.569
hCoV-19/USA/TX-HMH-MCoV-17177/2020	EPI_ISL_1202888	A.23
hCoV-19/USA/TX-HMH-MCoV-17180/2020	EPI_ISL_1202891	B.1.1.44
hCoV-19/USA/TX-HMH-MCoV-16721/2020	EPI_ISL_1202431	B.1.78
hCoV-19/USA/TX-HMH-MCoV-17256/2020	EPI_ISL_1202967	B.1.210
hCoV-19/USA/TX-HMH-MCoV-17438/2020	EPI_ISL_1203149	B.1.194
hCoV-19/USA/TX-HMH-MCoV-17520/2020	EPI_ISL_1203231	B.1.379
hCoV-19/USA/TX-HMH-MCoV-17516/2020	EPI_ISL_1203227	B.1.535
hCoV-19/USA/WA-UW-61159/2021	EPI_ISL_1209089	P.1
hCoV-19/USA/WA-S5344/2020	EPI_ISL_1222558	B.1.206
